*,aleatory,0.00021326508850501172
aleatory,books,5.049739938393173e-05
books,STOP,0.005201232136544968
*,the,0.062486670931968434
the,book,0.0018179063778215423
book,of,0.00020198959753572692
of,secrets,5.049739938393173e-05
secrets,–test,5.049739938393173e-05
–test,club,5.049739938393173e-05
club,STOP,0.05494117052971772
*,hola,0.00042653017701002344
hola,STOP,5.049739938393173e-05
*,cupcake,0.00021326508850501172
cupcake,book,5.049739938393173e-05
book,club,0.03368176538908246
*,regular,0.00042653017701002344
regular,folks,5.049739938393173e-05
folks,reading,5.049739938393173e-05
reading,STOP,0.0014139271827500884
*,sosp,0.00021326508850501172
sosp,STOP,5.049739938393173e-05
*,michelle,0.00021326508850501172
michelle,STOP,5.049739938393173e-05
*,nixie,0.00021326508850501172
nixie,’,5.049739938393173e-05
’,s,0.010452961672473868
s,bookclub,0.0005049739938393173
bookclub,STOP,0.004292278947634197
*,mount,0.00021326508850501172
mount,gilead,5.049739938393173e-05
gilead,library,5.049739938393173e-05
library,book,0.00010099479876786346
*,metamodern,0.00021326508850501172
metamodern,book,5.049739938393173e-05
*,ladies,0.0008530603540200469
ladies,reading,5.049739938393173e-05
reading,books,0.0001514921981517952
*,res,0.00021326508850501172
res,colleges,5.049739938393173e-05
colleges,summer,5.049739938393173e-05
summer,test,5.049739938393173e-05
test,STOP,0.005403221734080695
*,reading,0.009596928982725527
reading,n,5.049739938393173e-05
n,',5.049739938393173e-05
',color,5.049739938393173e-05
color,STOP,0.00010099479876786346
*,prose,0.0008530603540200469
prose,before,0.00020198959753572692
before,hoes,0.0001514921981517952
hoes,STOP,0.00040397919507145384
*,moms,0.0006397952655150352
moms,&,5.049739938393173e-05
&,books,0.0003534817956875221
books,👯‍♀️📚,5.049739938393173e-05
👯‍♀️📚,STOP,5.049739938393173e-05
*,book,0.03049690765621668
book,STOP,0.001262434984598293
*,telecommunications,0.00021326508850501172
telecommunications,STOP,5.049739938393173e-05
*,our,0.0012795905310300703
our,rainbow,5.049739938393173e-05
rainbow,shelf,5.049739938393173e-05
shelf,STOP,0.0003029843963035904
*,shonas,0.00021326508850501172
shonas,STOP,5.049739938393173e-05
*,commons,0.0053316272126252935
commons,reading,0.001262434984598293
reading,summer,0.00146442458213402
summer,club,0.00146442458213402
club,11,5.049739938393173e-05
11,STOP,0.0003029843963035904
*,teresa,0.00021326508850501172
teresa,STOP,5.049739938393173e-05
*,a,0.01236937513329068
a,girl,0.00010099479876786346
girl,with,5.049739938393173e-05
with,glasses,5.049739938393173e-05
glasses,STOP,5.049739938393173e-05
*,.,0.0025591810620601407
.,STOP,0.00146442458213402
*,test,0.03561526978033696
*,testing,0.01215611004478567
testing,book,0.00020198959753572692
*,mark,0.0021326508850501172
mark,’,0.0001514921981517952
s,newest,5.049739938393173e-05
newest,club,5.049739938393173e-05
*,🌴,0.00021326508850501172
🌴,the,5.049739938393173e-05
the,pool,5.049739938393173e-05
pool,book,5.049739938393173e-05
club,🌴,5.049739938393173e-05
🌴,STOP,5.049739938393173e-05
*,historical,0.0010663254425250586
historical,fiction,5.049739938393173e-05
fiction,club,5.049739938393173e-05
*,books,0.015781616549370867
books,!,0.00025248699691965865
!,STOP,0.003989294551330606
*,bodacious,0.00021326508850501172
bodacious,besties,5.049739938393173e-05
besties,STOP,0.0007574609907589759
*,murakami,0.00021326508850501172
murakami,fans,5.049739938393173e-05
fans,STOP,0.00010099479876786346
*,mo,0.00042653017701002344
mo,mo,5.049739938393173e-05
mo,STOP,5.049739938393173e-05
reading,club,0.0037368075544109477
*,hty,0.00021326508850501172
hty,STOP,5.049739938393173e-05
*,work,0.00021326508850501172
work,club,5.049739938393173e-05
*,booktok,0.008957133717210493
booktok,reads,0.0001514921981517952
reads,STOP,0.0038378023531788113
club,12,5.049739938393173e-05
12,STOP,0.00025248699691965865
club,16,5.049739938393173e-05
16,STOP,0.00020198959753572692
reading,the,5.049739938393173e-05
the,lunar,0.0001514921981517952
lunar,chronicles,0.0001514921981517952
chronicles,STOP,0.0001514921981517952
club,14,5.049739938393173e-05
14,STOP,0.00025248699691965865
club,17,5.049739938393173e-05
17,STOP,0.00020198959753572692
club,2,0.0006564661919911124
2,STOP,0.0019189011765894056
club,1,0.00040397919507145384
1,STOP,0.0008584557895268394
a,new,0.0001514921981517952
new,earth,5.049739938393173e-05
earth,-,5.049739938393173e-05
-,test,0.0023228803716608595
test,club,0.014644245821340201
*,ya,0.007464278097675411
ya,at,5.049739938393173e-05
at,it,5.049739938393173e-05
it,'s,5.049739938393173e-05
's,finest,5.049739938393173e-05
finest,STOP,5.049739938393173e-05
*,ryan,0.00021326508850501172
ryan,eric,5.049739938393173e-05
eric,jesse,5.049739938393173e-05
jesse,STOP,5.049739938393173e-05
*,greene,0.00021326508850501172
greene,thumbs,5.049739938393173e-05
thumbs,STOP,5.049739938393173e-05
*,exploration,0.00021326508850501172
exploration,STOP,0.00010099479876786346
*,quarantine,0.0006397952655150352
quarantine,reading,5.049739938393173e-05
club,13,5.049739938393173e-05
13,STOP,0.00025248699691965865
*,g,0.001492855619535082
g,@,5.049739938393173e-05
@,ys,5.049739938393173e-05
ys,can,5.049739938393173e-05
can,’,0.00020198959753572692
’,t,0.000555471393223249
t,read,0.0001514921981517952
read,STOP,0.002524869969196586
*,buzz,0.001492855619535082
buzz,’,0.00020198959753572692
s,tech,0.00010099479876786346
tech,book,5.049739938393173e-05
*,buzzwordathon,0.0025591810620601407
buzzwordathon,:,0.0006059687926071808
:,may,5.049739938393173e-05
may,STOP,0.00010099479876786346
